,text,TIER_1_WHICH_HALF,TIER_2_LETTER_RANGE,TIER_3_ACTUAL_LETTER
0,"What TV comedian worked with White Fang , Black Tooth and Pookie the Lion ?",FIRST 14 LETTERS,BETWEEN H AND N,i
1,What country was Mikhail Gorbachev the leader of ?,LAST 12 LETTERS,BETWEEN T AND Z,t
2,What company uses the unfamiliar faces of its celebrity spokespeople to promote the use of its product ?,FIRST 14 LETTERS,BETWEEN A AND G,d
3,Name the Four Horsemen of the Apocalypse .,FIRST 14 LETTERS,BETWEEN H AND N,j
4,How much is a Canadian 1967 twenty dollar gold coin worth ?,FIRST 14 LETTERS,BETWEEN H AND N,h
5,What city has the two steepest streets in the U.S. ?,LAST 12 LETTERS,BETWEEN T AND Z,v
6,What African capital is named for a U.S. president ?,LAST 12 LETTERS,BETWEEN T AND Z,u
7,Name the fast food chain with the golden arches .,LAST 12 LETTERS,BETWEEN T AND Z,w
8,What ill-fated American general dragged a bull terrier named Willie through World War II ?,LAST 12 LETTERS,BETWEEN T AND Z,w
9,"In Hemingway 's `` Old Man and the Sea , '' what kind of fish does the old man catch ?",FIRST 14 LETTERS,BETWEEN A AND G,a
10,What shrubs can be planted that will be safe from deer ?,LAST 12 LETTERS,BETWEEN T AND Z,y
11,What is the origin of the typing practice sentence `` Now is the time for all good men to come to the aid of their country '' ?,FIRST 14 LETTERS,BETWEEN A AND G,f
12,What does IOC stand for ?,LAST 12 LETTERS,BETWEEN T AND Z,x
13,How you can raise your IQ ?,FIRST 14 LETTERS,BETWEEN A AND G,d
14,What is hyperopia ?,LAST 12 LETTERS,BETWEEN T AND Z,v
15,What does NAFTA stand for ?,LAST 12 LETTERS,BETWEEN O AND S,p
16,"What does caliente mean , in English ?",LAST 12 LETTERS,BETWEEN O AND S,o
17,What is California 's capital ?,LAST 12 LETTERS,BETWEEN T AND Z,v
18,What is the softest part of the body ?,LAST 12 LETTERS,BETWEEN O AND S,o
19,Who wrote `` The Scarlet Letter '' ?,LAST 12 LETTERS,BETWEEN O AND S,s
20,What are the statistics for drunken drivers in Maryland ?,LAST 12 LETTERS,BETWEEN T AND Z,v
21,What is the average salary of a paleontologist ?,FIRST 14 LETTERS,BETWEEN A AND G,c
22,Who is the son-in-law of Sen. Everett Dirkson who was also a senator in the '70 's ?,FIRST 14 LETTERS,BETWEEN A AND G,c
23,What is the amount of money owed for illegally having a dog on a beach ?,LAST 12 LETTERS,BETWEEN T AND Z,y
24,What piece of jewelry is pictured on Monopoly 's Luxury Tax space ?,FIRST 14 LETTERS,BETWEEN A AND G,d
25,"What soft drink not only has its own video game , but was featured in its own Marvel comic book ?",FIRST 14 LETTERS,BETWEEN H AND N,m
26,What do humans catch zoonose diseases from ?,FIRST 14 LETTERS,BETWEEN A AND G,a
27,Where was chop suey invented ?,FIRST 14 LETTERS,BETWEEN H AND N,l
28,"Who sent the brief message `` I came , I saw , I conquered '' ?",LAST 12 LETTERS,BETWEEN T AND Z,x
29,What 's the slowest Olympic swimming stroke ?,FIRST 14 LETTERS,BETWEEN A AND G,f
30,What are some of Australia 's native flora ?,LAST 12 LETTERS,BETWEEN T AND Z,t
31,What does an ashen-faced eidologist search out the existence of ?,FIRST 14 LETTERS,BETWEEN A AND G,a
32,What is Bombay duck ?,LAST 12 LETTERS,BETWEEN T AND Z,z
33,What 's the second-lightest element ?,FIRST 14 LETTERS,BETWEEN A AND G,b
34,Who are the top ten richest people in the world ?,LAST 12 LETTERS,BETWEEN O AND S,r
35,How many sides does an obelisk have ?,LAST 12 LETTERS,BETWEEN O AND S,s
36,"What was the non-fiction best-seller of 1952 , 1953 and 1954 ?",LAST 12 LETTERS,BETWEEN O AND S,r
37,What do flatfish eat ?,LAST 12 LETTERS,BETWEEN O AND S,o
38,What did San Francisco 's Milt Harper grow that measured 24 inches from tip to tip in 1974 ?,FIRST 14 LETTERS,BETWEEN A AND G,a
39,Where can I find a picture of a Blue Meanie ?,FIRST 14 LETTERS,BETWEEN H AND N,j
40,What does snafu stand for ?,LAST 12 LETTERS,BETWEEN T AND Z,x
41,What president 's ghost is said to haunt the White House ?,FIRST 14 LETTERS,BETWEEN H AND N,i
42,What 1920s cowboy star rode Tony the Wonder Horse ?,LAST 12 LETTERS,BETWEEN T AND Z,v
43,Who famously rode to warn the people of Massachusetts that the British were coming ?,FIRST 14 LETTERS,BETWEEN H AND N,k
44,Where did Ty Cobb grow up ?,FIRST 14 LETTERS,BETWEEN A AND G,g
45,What is the most popular sports car color ?,LAST 12 LETTERS,BETWEEN O AND S,r
46,When was Babe Ruth born ?,FIRST 14 LETTERS,BETWEEN A AND G,c
47,"What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?",FIRST 14 LETTERS,BETWEEN A AND G,b
48,On what river is Strasbourg built ?,FIRST 14 LETTERS,BETWEEN A AND G,f
49,Name an American made motorcycle .,FIRST 14 LETTERS,BETWEEN A AND G,g
50,What U.S. senator once played basketball for the New York Knicks ?,LAST 12 LETTERS,BETWEEN T AND Z,z
51,Aspartame is known by what other name ?,LAST 12 LETTERS,BETWEEN T AND Z,z
52,"What is a fear of odors , body , ?",LAST 12 LETTERS,BETWEEN T AND Z,x
53,What was the rallying cry of the early American revolutionaries ?,FIRST 14 LETTERS,BETWEEN H AND N,h
54,What is Bill Gates of Microsoft E-mail address ?,LAST 12 LETTERS,BETWEEN T AND Z,z
55,Which Rockefeller was sometimes called `` JDR3 '' ?,LAST 12 LETTERS,BETWEEN T AND Z,z
56,What is troilism ?,LAST 12 LETTERS,BETWEEN O AND S,o
57,Who invented the game Scrabble ?,FIRST 14 LETTERS,BETWEEN A AND G,d
58,What is a society ruled by elders ?,FIRST 14 LETTERS,BETWEEN A AND G,f
59,"Where can I find scientific data , `` research papers , '' on textile engineering ?",FIRST 14 LETTERS,BETWEEN A AND G,e
60,What 1927 silent film received an international revival in 1981 ?,FIRST 14 LETTERS,BETWEEN A AND G,c
61,What is probability theory ?,FIRST 14 LETTERS,BETWEEN H AND N,n
62,What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?,FIRST 14 LETTERS,BETWEEN H AND N,j
63,Where is Basque country located ?,FIRST 14 LETTERS,BETWEEN A AND G,b
64,How can I stop or slow down aging ?,LAST 12 LETTERS,BETWEEN T AND Z,y
65,"What is the meaning of caliente , in English , ?",FIRST 14 LETTERS,BETWEEN A AND G,b
66,What layer of the atmosphere contains most of the ozone layer ?,LAST 12 LETTERS,BETWEEN T AND Z,z
67,How large is Missouri 's population ?,FIRST 14 LETTERS,BETWEEN A AND G,e
68,Who 's baby was Sweet Pea on the Popeye cartoon ?,LAST 12 LETTERS,BETWEEN T AND Z,u
69,What happens to the female body with lack of sleep and food ?,FIRST 14 LETTERS,BETWEEN A AND G,b
70,Why is Thanksgiving on a Thursday ?,FIRST 14 LETTERS,BETWEEN A AND G,g
71,What was the number of assassinations and attempts to assassinate in the U.S. since 1865 ?,FIRST 14 LETTERS,BETWEEN H AND N,m
72,What animal has the biggest eyes ?,LAST 12 LETTERS,BETWEEN O AND S,s
73,What does `` antidisestablishmentarianism '' mean ?,FIRST 14 LETTERS,BETWEEN H AND N,i
74,What baseball player was walked the most times ?,FIRST 14 LETTERS,BETWEEN A AND G,d
